a&f, always and forever
igyb, I Got Your Back
ih, it happens
ih2gp, I have to go pee
ih8, i hate
ih8mls, I hate my little sister 
ih8p, I hate parents
ih8tu, i hate you
ih8u, I hate you
ih8usm, i hate you so much
ih8y, I hate you
ihac, I have a customer
ihat3u, I hate you
ihistr, i hope i spelled that right
ihiwydt, I hate it when you do that
ihml, I hate my life
ihmp, i hate my parents
ihnc, i have no clue
ihni, i have no idea
iht, I heard that
ihtgttbwijd, I have to go to the bathroom, wait I just did.
ihtp, I Have To Poop
ihtsm, i hate this so much
ihtutbr, I have to use the bathroom
ihu, I hate you
ihurg, i hate your guts
ihusb, i hate you so bad 
ihusm, i hate you so much
ihy, i hate you
ihya, i hate you all
ihysm, I hate you so much
ihysmrn, i hate you so much right now
iigh, alright
iight, alright
iiok, is it okay
iirc, if I recall correctly
iistgtbtipi, If It Sounds Too Good To Be True It Probably Is
iit, is it tight
iitywimwybmad, if I tell you what it means will you buy me a drink
iitywybmad, if I tell you, will you buy me a drink?
iiuc, if I understand correctly
iiw2, is it web 2.0?
iiwii, it is what it is
ij, indide joke
ijaf, it's just a fact
ijcomk, i just came on my keyboard
ijdk, I just don't know
ijdl, I just died laughing
ijf, i just farted
ijgl, I just got laid
ijit, idiot
ijk, I'm Just kidding
ijp, Internet job posting
ijpmp, I just peed my pants
ijpms, I just pissed myself
ijr, i just remembered
ijsabomomcibstg, I just saved a bunch of money on my car insurance by switching to geico
ik, i know
iki, i know it
ikic, I know I can
ikm, I know man
ikr, I know really
ikt, i knew that
ikwud, I know what you did
ikwum, I know what you meant
ikwyl, I know where you live
ikwym, i know what you mean
ilbcnu, i'll be seeing you
ilcul8r, I'll see you later
ilhsm, i love him/her so much
ili, i love it
ilml, I Love My Life
ilms, I love my self
ilotibinlirl, I'm laughing on the internet, but I'm not laughing in real life
ilshipmp, I laughed so hard I peed my pants
iltwymmf, I love the way you make me feel
ilu, I love you
ilu2, I love you too
iluaaf, i love you as a friend
ilulafklc, I love you like a fat kid loves cake.
ilum, i love you more
ilusm, I love you So much
iluvm, I Love You Very Much
iluvu, i love you
iluvya, i love you
iluwamh, i love  you with all my heart
ilvu, i love you
ily, i love you
ily2, i love you too
ily4e, i love you forever
ily4ev, i love you forever
ilyaas, I Love You As A Sister
ilyal, I like you a lot
ilybby, i love you baby
ilybtid, I Love You But Then I Don't
ilyf, I'll Love You Forever
ilygsm, i love you guys so much
ilykthnxbai, i love you k thanks bye
ilyl, i love you loads
ilylab, I love you like a brother
ilylabf, I love you like a best friend
ilylafklc, i love you like a fat kid loves cake
ilylas, i love you like a sister
ilylc, i love you like crazy
ilym,  i love you more
ilymtyk, i love you more than you know
ilymtylm, i love you more than you love me
ilysm, i love you so much
ilysmih, i love you so much it hurts
ilysmm, i love you so much more
ilysmydek, I Love You So Much You Don't Even Know
ilysvm, i love you so very much
ilyvm, i love you very much
ilywamh, I love you with all my heart
im, Instant Message
im'd, instant messaged
im26c4u, I am too sexy for you
ima, I am a
imao, in my arrogant opinion
imb, I am back
imcdo, in my conceited dogmatic opinion
imed, instant messaged
imh, I am here
imhbco, In my humble but correct opinion
imhe, in my humble experience
imho, in my humble opinion
imm, instant message me
imma, I'm going to
imnerho, In my not even remotely humble opinion
imnl, I'm not laughing
imnsho, in my not so humble opinion
imo, in my opinion
imoo, in my own opinion
impo, In My Personal Opinion
impov, in my point of view
imr, in my room
imsb, i am so bored
imsry, I am sorry
imtaw, it may take a while
imts, I meant to say
imu, i miss you 
imusm, I miss you so much
imvho, in my very humble opinion
imwtk, Inquiring minds want to know
imy, I miss you
imy2, i miss you to
imya, i miss you already
in2, into
inb4, in before
inbd, it's no big deal
incld, include
incrse, increase
ind2p, I need to pee
indie, independent
inef, it's not even funny
inet, internet
inh, I need help
inho, in my honest opinion
inhwh, I need homework help
init, isn't it
inmp, it's not my problem
innit, isn't it
ino, I know
instagib, instant kill
instakill, instant kill
intarwebs, internet
intel, intelligence
interweb, internet
intpftpotm, I nominate this post for the post of the month
inttwmf, I am Not Typing This With My Fingers
invu, I envy you
ioh, I'm out of here
iois, Indicators of Interest
iokiya, it's ok if you are
iomw, I'm on my way
ionno, I don't know
iono, I don't know
iotd, image of the day
iou, i owe you
iow, in other words
ioya, I'd Own Your a**
ioyk, if only you knew
ip, internet protocol
irc, internet relay chat
irdc, I really don't care
irdk, I really don't know
irgtgbtw, I've really got to get back to work
irhtgttbr, I really have to go to the bathroom
irhy, i really hate you
irl, in real life
irly, I really love you
irt, in reply to
irtf, I'll return the favor
is2g, i swear to god
isb, I'm so bored.
isbya, im sorry but you asked
isd, internet slang dictionary
ise, internal server error
isg, I speak geek
ishii, i see how it is
isianmtu, I swear I am not making this up
isj, inside joke
iso, In Search Of
isp, internet service provider
iss, im so sorry
istg, i swear to god
istr, I seem to remember
istwfn, I stole this word from noslang.com
iswydt, i see what you did there
ita, I Totally Agree
itb, in the butt
itc, in that case
itd, in the dark
ite, alright
itk, in the know
itn, I think not
itt, in this thread
ityltk, I thought you'd like to know
itys,  i told you so
itz, it's
itzk, it's ok
iucmd, if you catch my drift
iukwim, if you know what i mean
iunno, I don't know
iuno, i dunno
ive, i have
\iw2mu, I want to meet you
iwaa, It was an accident
iwbrbl@r, I will be right back later
iwc, In Which Case
iwg, it was good
iwhi, I would hit it
iwhswu, I want to have sex with you
iwjk, i was just kidding
iwk, I wouldn't know
iwlu4e, I will love you for ever
iwmu, i will miss you
iwmy, i will miss you
iws, i want sex
iwsn, i want sex now
iwsul8r, I will see you later
iwtk, I Want to Know
iwtly, i want to love you
iwu, i want you
iwuwh, i wish you were here 
iwy, i want you
iwyb, I want your body
iwyn, I want you now
iwythmb, i want you to have my baby
iyam, if you ask me
iyc, if you can
iyd, In Your Dreams
iydhantsdsaaa, If you don't have anything nice to say don't say anything at all
iydmma, if you don't mind me asking
iyf, In your face
iyflg, If You're Feeling Less Generous
iygm, if you get me
iykwim, if you know what I mean
iym, I am your man
iyo, in your opinion
iyq, I like you
iyss, if you say so
iyswim, if you see what I mean
iywt, if you want to
iz, is
j-c, just chilling
j/a, Just Asking
j/c, just curious
j/j, just joking
j/k, just kidding
j/o, jackoff
j/p, just playing
j/s, just saying
j/t, just talking
j/w, just wondering
j00, you
j00r, your
j2bs, just to be sure
j2c, just too cute
j2f, just too funny
j2luk, just to let you know
j2lyk, just to let you know
j4f, just for fun
j4g, just for grins
j4l, just for laughs
j4u, just for you
jalaudlm, just as long as you don't leave me
jas, just a second
jb, jailbait
jbu, just between us
jc, just curious
jcam, just checking away message
jcath, Just chilling at the house
jebus, my keyboard
jf, just fooling
\jff, just for fun
jfg, just for giggles
jfi, just forget it
jfj, jump for joy
jfl, just for laughs
jflts, just felt like typing something
jfn, just for now
jfr, Just for reference
jftr, just for the record
jfu, just for you
jg2h, just go to hell
jgiyn, Just google it you noob
jh, Just hanging
jhm, just hold me
jho, just hanging out
jic, just in case
jit, just in time
jizz, semen
jj, just joking
jj/k, just joking
jja, just joking around
jk, just kidding
jka, just kidding around
jking, joking
jkl, just kidding loser
jklol, Just Kidding Laughing Out Loud
jkn, joking
jks, jokes
jkz, jokes
jlma, just leave me alone
jlt, just like that
jm, Just Messing
jma, just messing around
jml, just my luck
jmo, just my opinion
jms, just making sure
jom, just one minuite
joo, you
jooc, just out of curiosity
jooce, Juice
joor, your
jp, just playing
js, just saying
jsa, just stop already
jsing, just saying
jst, just
jsuk, just so you know
jsun, Just so you know
jsut, just
jsyk, Just so you know
jsyn, just so you know
jtay, just thinking about you
jtbs, Just To Be Sure
jtc, Join the club
jtluk, just to let you know
jtlyk, just to let you know
jtoi, just thought of it
jtol, just thinking out loud
jttsiowctw, just testing to see if other websites copy this word
jtty, just to tell you
jtumltk, just thought you might like to know
jtwii, just the way it is.
jtwiw, just the way it was.
jtyltk, just thought you'd like to know
jtysk, just thought you should know
jumping the couch, acting strange
jus, just
juss, just
juz, just
juzt, just
jw, just wondering
jw2k, just wanted to know
jwas, just wait a second
jwtlyk, Just wanted to let you know
jyfihp, jam your finger in her p***y
k, ok
k3wl, cool
kah, kisses and hugs
kay, okay
kb, KiloBite
kcco, keep calm chive on
kek, laughing out loud
kewel, cool
kewl, cool
kfc, kentucky fried chicken
khitbash, kick her in the box and shove her
khuf, know how you feel
kia, Killed In Action
kib, okay, im back
kic, keep it clean
kicks, sneakers
kig, keep it going
kiled, killed
kinda, kind of
kir, kid in room
kis, keep it simple
kisa, knight in shining armor
kit, keep in touch
kitteh, kitten
kiu, Keep it up
kiwf, Kill It With Fire
kk, ok
kkk, ku klux klan
kkthnxbye, okay thanks bye
kky, kinky
kl, cool
km, kiss me
kml, Killing Myself Laughing
kmn, kill me now
kmp, kill me please
kmsl, killing myself laughing
kmswl, killing myself with laughter
knackered, drunk
knewb, new player
kno, know
knw, know
ko, knock out
kol, kiss on lips
koo, cool
kool, cool
kos, kid over shoulder
kotc, kiss on the cheek
kotl, kiss on the lips
kotor, Knights of the old republic
kpc, keeping parents clueless
ks, kill steal
kss, kiss
kssd, kissed
kt, keep talking
ktc, kill the cat
kthanxbi, Okay, thanks. Bye.
kthnxbai, Okay, thanks, bye
kthnxbye, Okay, thanks, bye
kthx, ok, thank you
kthxbai, ok thanks bye!
kthxbi, ok, thank you, goodbye
kthxbye, ok, thank you, goodbye
kthxbye, ok, thank you, goodbye
kthxgb, ok thanks goodbye
kthxmn, Ok Thanks Man
kthz, ok thanks
ktnx, Okay and Thanks
kuhl, cool
kul, cool
kute, cute
kutgw, Keep Up The good Work
kuwl, cool
kwik, quick
kwim, Know What I Mean
kwis, Know what I'm saying?
kwit, quit
kwiz, quiz
kwl, cool
kwtsds, Kiss where the sun don't shine
kyfc, keep your fingers crossed
kyko, keep your knickers on
kyms, keep your mouth shut
kys, kill yourself
l0lz, laugh out loud
l2, learn to
l2m, listening to music
l2ms, laughing to myself
l2p, learn to play
l2r, Learn to read
l337, elite
l33t, elite
l4m3rz, lamers
l8, late
l84skool, late for school
l8a, later
l8er, later
l8ers, Later
l8r, see you later
l8rs, laters
l8rz, later
l8s, later
l8t, later
l8ta, later
l8ter, later
l8tr, later
l@u, laughing at you
laff, laugh
lafs, love at first sight
lak, love and kisses
lal, laughing a little
lalol, lots and lots of laughs
lam, leave a message
lan, local area network
lappy, Laptop
larp, live action role-play
lat, laugh at that
lata, later
lates, later
latn, laugh at the newbs
latr, Later
latwttb, laughing all the way to the bank
lau, laugh at you
lawd, lord
lawl, lauging out loud with a southern drawl
lawl'd, laughed out loud
lawled, laughed out loud
lawls, laughing out loud with a southern drawl
lawlz, laughing out loud with a southern drawl
lazer, laser
lazor, laser
lbh, let's be honest
lbnr, laughing but not really
lbo, laughing butt off 
lbr, little boy's room
lbvs, laughing but very serious
lcsnpc, low cost small notebook personal computer
ldr, Long-distance relationship
lee7, elite
leet, elite
legit, legitimate
leik, like
leme, let me
lemme, let me
lesbo, lesbian
less than 3, love
less than three, love
lez, Lesbian
lezbean, lesbian
lezbo, lesbian
lezzzie, lesbian
lf, looking for
lf1m, Looking for one more
lf2m, looking for 2 more
lfg, Looking for group
lfm, looking for mate
lfnar, laughing for no aparent reason
lfr, Laughing for real
lgb, lesbian/gay/bisexual
lgbtq, Lesbien, Gay, Bisexual, Transgender and Queer.
lgds, let's go do something
lgf, little green footballs
lggd, let's go get drunk
lgn, link goes nowhere
lgo, life goes on
lgot, let's go out tonight
lgr, little girls room
lgs, let's go shopping!
lic, like i care
liec, like i even care
liek, like
liekz, likes
lik, like
lil, little
liv, live
lk, like
lke, like
lmfr, Lets Meet For Real
lmtd, limited
ln, last name
lnk, Link
lofi, uncool
ura, you are a
ure, you are
urs, yours
usd, United States Dollar
ussr, The Union of Soviet Socialist Republics
ut, you there
utube, youtube
utw, used to work
uty, it's up to you
uve, You've
uw, you're welcome
uwc, you are welcome
vb, visual basic
vf, very funny
vgn, Video Game Nerd
vid, Video
vids, Videos
vip, very important person
vleo, Very Low Earth Orbit
vlog, video log
vn, very nice
vnc, Virtual Network Computing
voip, voice over ip
vrsty, Varsity
vry, very
vs, versus
vwd, very well done
vzit, visit
vzn, verizon
x treme, extreme
xb36t, Xbox 360
vzit, visit
vzn, verizon
x treme, extreme
xb36t, Xbox 360
lotr, lord of the rings
lov, love
lozer, loser
lrt, last retweet
lsr, loser
lsudi, Lets see you do it
lt, long time
ltb, looking to buy
ltr, later
ltnc, Long time no see
ltns, long time no see
luf, love
luff, Love
lug, lesbian until graduation
luk, look
lukin, looking
luser, user who is a loser
lusm, love you so much
luv, love
luver, lover
luvuvm, love you very much
luvv, love
luzar, Loser
lv, love
lve, Love
lvl, level
lvn, loving
lvr, lover
lvya, love you
lwih, look what I have
lwn, last week's news
lyf, life
lyfe, life
lyk, like
lyk3, like
lyke, like
lzer, laser
lzr, loser
m, am
m$, Microsoft
m$wxp, Microsoft Windows XP
m&d, mom and dad
m'kay, okay
m.i.a, Missing In Action
m.o, makeout
m/b, maybe
m/f, male or female
m2, me too
m3, me
m473s, friends
m473z, friends
m4f, male for female
m4m, male for male
m8, friend
m84l, mate for life
m8s, mates
m8t, mate
m8t's, friends
m9, mine
mabby, maybe
mabe, Maybe
mah, my
mai, my
marvy, marvelous
mayb, maybe
mayte, mate
mcds, mcdonalds
mcs, My computer sucks
mcse, Microsoft Certified Systems Engineer
me2, me too
meatspace, the real world
meeh, me
mego, my eyes glaze over
meh, whatever
messg, message
mfg, merge from current
mgmt, management 
mhh, my head hurts
mhm, Yes
mho, My Humble Opinion
mia, Missing In Action
mic, microphone
miid, my internet is down
min, minute
mins, minutes
misc., miscellaneous
miself, myself
mite, might
mkay, ok
mlc, mid life crisis
mmmkay, okay
mmo, Massive Multiplayer Online
mngmt, management
mngr, manager
mnm, eminem
mof, matter of fact
moh, Medal Of Honor
mohaa, Medal of Honor Allied Assult
mol, more or less
mompl, moment please
mor, more
morf, male or female
moro, tomorrow
mpd, Multiple Personality Disorder
mph, miles per hour
mrau, message received and understood
msg, message
msgs, messages
msie, microsoft's internet explorer
msm, main stream media
msngr, messenger
mssg, message
msv, Microsoft Vista
mtc, more to come
mtf, More to Follow
mtfbwu, may the force be with you
mtfbwy, May the Force be with you
mtg, Meeting
mtl, more than likely
mtr, matter
mty, empty
mu, miss you
mudda, mother
mul, miss you lots
musiq, music
musm, Miss You So Much
mutha, mother
muve, multi-user virtual environment
muvva, mother
muzik, music
mw2, modern warfare 2
mw3, Modern Warfare 3
mwah, kiss
mwf, Married White Female
myn, mine
myob, mind your own business
mysm, Miss you so much
myspce, myspace
mmorpg, massively multiplayer online role playing game
n, and
n e, any
n/a, not applicable
n/a/s/l, name, age, sex location
n/c, no comment
n/m, nevermind
n/n, nickname
n/o, no offense
n/t, no text
n00b, newbie
n00bs, newbies
n00s, news
n1, nice one
n199312, african american
n1994, african american
n2, into
n2b, not too bad
n2bb, nice to be back
n2br, not to be rude
n2g, Not too good
n2m, not too much
n2mh, not too much here
n2mhbu, not too much how about you?
n2mhjc, not too much here just chillin
n2mu, not too much, you?
n2n, need to know
n64, Nintendo 64
n8v, native
na, not applicable
na4w, not appropriate for work
naa, not at all
nade, grenade
nafc, Not Appropriate for Children
nafta, North American Free Trade Agreement
nah, no
namh, not at my house
nao, Not As Often
natch, naturally
natm, not at the minute
naw, no
nawidt, never again will i do that
nawt, not
naww, no
nayl, in a while
nb, not bad
nb,p, nothing bad, parents
nba, national basketball association 
nbd, no big deal
nbdy, nobody
nc, not cool
ncaa, National Collegiate Athletic Association
nd, and
ndit, No details in thread
ndn, indian
nds, Nintendo DS
ne, any
ne1, anyone
neday, any day
nedn, any day now
nefing, anything
negl, not even going to lie
nei, Not enough information
neida, any idea
nemore, Anymore
nes, Nintendo Entertainment System
nethin, anything
nething, anything
neva, never
nevah, never
nevar, Never
nevarz, never
nevm, never mind
nevr, never
newais, Anyways
neway, anyway
neways, anyways
newayz, anyways
newb, someone who is new
newbie, new player
newez, anyways
nf, not funny
nfbsk, not for british school kids
ng, nice game
ngl, Not Gonna Lie
nh, nice hand
nhatm, not here at the moment
ni, no idea
nib, new in box
nic, Network Interface Card
nif, non internet friend
nin, no its not
nip, nothing in particular
nite, night
nj, Nice job
njoy, enjoy
njp, nice job partner
nk, no kidding
nkt, never knew that
nld, nice lay down
nm, not much
nm u, not much, you
nmbr, number
nme, enemy
nmf, not my fault
nmh, not much here
nmhau, nothing much how about you
nmhm, nothing much here, man
nmhu, nothing much here, you?
nmhwby, nothing much here what about you
nmjb, nothing much just bored
nmjc, not much, just chillin'
nmjch, Nothing Much Just Chilling
nmjcu, nothing much, just chilling, you?
nmjdhw, nothing much just doing homework
nmp, Not My Problem
nmu, nothing much, you
nmw, no matter what
nmwh, no matter what happens
nn, good night
nn2r, no need to respond
nnaa, no not at all
nnfaa, no need for an apology
nnr, no not really
nntr, no need to reply
nntst, no need to say thanks
no pro, no problem
no1, no one
noaa, National Oceanic and Atmospheric Administration
noe, know
noes, no
nofi, No Flame Intended
nolm, No one loves me
nomw, not on my watch
noob, someone who is new
noobie, new person
nooblet, new player
noobz0r, newbie
nop, normal operating procedure
notin, nothing
noty, no thank you
npa, not paying attention
npc, Non-playable character
npe, nope
npnt, no picture, no talk
nps, No Problems
nq, Thank you
nr,  no reserve
nrg, energy
nrn, No Response Necessary
ns, nice
nsfmf, not so fast my friend
^5, high five
nst, no school today
nstaafl, No Such Thing As a Free Lunch
nt, nice try
ntb, not to bad
nthg, nothing
nthin, nothing
nthn, nothing
ntmk, Not to my knowledge
ntn, nothing
ntrly, Not Really
ntk, Need to know
ntkb, need to know basis
ntm, not to much
nu, new
nub, inexperienced person
nuff, enough
nuffin, nothing
nufin, nothing
nutin, nothing
nuttin, nothing
nv, envy
nvm, never mind
nvmd, nevermind
nvr, never
nvrm, Nevermind
nvrmnd, never mind 
nwy, no way
nxt, next
ny1, Anyone
nyc, New York City
nywy, anyway
o, Oh
o rly, oh really
o.p., Original Poster
o/y, oh yeah
obgjfioyo, old but good job finding it on your own
obj, Object
obl, osama bin laden
obo, or best offer
obv, obviously
obvi, obviously
occ, Occupation
ocd, obsessive compulsive disorder
oe, or else
oed, oxford english dictionary
of10, often
ofc, of course
oftn, often
og, original gangster
ogw, oh guess what
oibmpc, oops I broke my computer
oj, orange juice
ok, okay
oob, out of buisness
oomf, One of my followers
oomm, out of my mind
ooo, out of the office
ootb, out of the blue
ootd, outfit of the day
oow, On our way
op, operator
orpg, online role playing game
os, operating system
osd, On Screen Display
oti, on the internet
outa, out of
ova, over
ownz, owns
ownzer, one who makes others look bad
ownzorz, Owned.
owt, Out
p/w, password
p00p, poop
p0wn, make to look bad
p2p, peer to peer
p2w, pay to win
parnts, parents
pb, peanut butter
pb&j, peanut butter and jelly
pbj, peanut butter and jelly
pbjt, peanut butter jelly time
pbly, probably
pcbd, page cannot be displayed
pce, peace
pcent, percent
peeps, people
pezzas, parents
pf, profile 
pg, page
ph#, phone number
ph33r, fear
ph34r, fear
phail, fail
phayl, fail
phear, fear
phreaker, phone hacker
phun, fun
pic, picture
piccies, Pictures
pics, pictures
pino, Filipino
pix, pictures
pk, player kill
pkemon, pokemon
pker, player killer
pking, player killing
pl0x, please
pl8, plate
ple's, please
pleaz, please
pleez, please
pleeze, please
pleze, please
pliz, please
plox, please
ploxxorz, please
pls, please
plse, please
plx, please/thanks
plocks, please
plz, please
pmt, pretty much this
po po, police
poi, point of interest
poo, poop
pooter, Computer
popo, police
potc, pirates of the caribbean
pots, Plain Old Telephone Service
pov, point of view
pow, prisoner of war
ppl, people
ppls, people
pplz, people
pr0, professional
prblm, Problem
prd, period
prfct, perfect
prncpl, principal
prncss, princess
pro, professional
prob, problem
probly, probably
probz, probably
prod, product
prolly, Probably
prollz, probably
promos, promotions
proxie, proxy
prp, please reply
prsn, person
prty, party
prv, private
ps1, Play Station 1
ps2, Play Station 2
ps3, Play Station 3
psa, Public Service Announcement
psn, playstation netwok
psp, playstation portable
pt33n, preteen
ptw, play to win 
puh-leaze, Please
purty, pretty
puter, Computer
pvp, player versus player
pwd, password
pwor, power
pz, peace
pzled, puzzled
ql, cool
qna, question and answer
qool, cool
qoolz, cool
qotd, quote of the day
qotsa, queens of the stone age
qoty, quote of the year
qpr, quite pathetic really
r, are
r0x0rz, rocks
r8, rate
r8t, rate
ra2, red alert 2 (game)
ra3, Red Alert 3 (game)
rawk, Rock
rawks, rocks
rawr, roar
rcks, Rocks
rcvd, received
rdy, ready
re, reply
rele, really
rents, parents
rentz, parents
rep, to represent
reppin, representing
rgr, roger
rhcp, red hot chilli peppers
rite, right
rjct, reject
rl, real life
rlly, really
rln, real life name
rly, really
rlz, rules
rlze, realize
rm, room
rmr, remember
rn, Right now
rnt, aren't
ro, rock out
rockr, rocker
rodger, affirmative
roi, Return On Investment
roj, affirmative
rong, wrong
rotw, rest of the world
rox, rocks
roxor, rock
roxorz, rocks
roxxor, rock
rp, roleplay
rpg, role playing game
rsp, respawn
rspct, respect
rsps, Runescape Private Server
rta, read the article
rtard, retard
rtbq, Read The Blinking Question
rtry, retry
ru, are you
rts, Real-time strategy
ryt, right
ryte, right
*s*, smile
s'ok, it's okay
s'pose, suppose
s'up, what is up
s8ter, skater
sbrd, so bored
scool, school
scrilla, money
scrt, secret
scurred, scared
sdk, Software Development Kit
sdlc, Software Development Life Cycle
sec, second
sed, said
sellin, selling
seo, Search Engine Optimization
serp, search engine results page
sez, says
sfe, safe
sg, so good
sgb, straight/gay/bisexual
shawty, girl
shd, should
shld, should
sho, sure
sho'nuff, sure enough
showin, showing
shud, should
shuddup, Shut Up
shup, shut up
shure, sure
shut^, shut Up
shwr, shower
sif, as if
sifn't, as if not
sig, Signature
siggy, Signature
sis, sister
sista, Sister
sk8, skate
sk8er, skater
sk8ing, Skating
sk8r, skater
sk8ter, skater
sk8tr, skater
sked, schedule
skewl, school
skhool, school
skillz, skills
skl, School
skool, school
skoul, school
sktr, skater
skwl, school
sleepin, sleeping
sleepn, sleeping
slng, slang
slo, slow
slp, sleep
slt, something like that
sm, social media
sm1, someone
smb, see my blog
smthin, something
smthng, something
smtm, sometime
sn, screen name
snes, Super Nintendo Entertainment System
snew, what's new
snf, so not fair
snl, Saturday Night Live
snm, say no more
snog, kiss
snogged, kissed
soa, service oriented architecture 
soe, service oriented enterprise
sof, smile on face
soi, service oriented infrastructure
sok, It's ok
sokay, it's okay
som'm, something
som1, someone
some1, someone
soml, story of my life
soo, So
sorreh, sorry
sorta, sort of
sowi, sorry
sowwy, sorry
soz, sorry
spk, speak
spk2ul8r, Speak to you later
sploits, exploits
sploitz, exploits
srch, search
srly, seriously
srry, sorry
srs, serious
srsly, seriously
srvis, Service
sry, sorry
srynd2g, sorry need to go
srzly, seriously
ss, screenshot
ssl, secure sockets layer
ssry, so sorry
st, Stop That
st1, stoned
st8, state
stb, soon to be
stff, stuff
stg, swear to god
sth, something
sthing, something
sthu, shut the hell up
stm, smiling to myself
stoopid, stupid
stpd, stupid
str8, straight
str8up, straight up
sts, so to speak
stsp, Same Time Same Place
stt, Same time tomorrow
stupd, stupid
stw, share the wealth 
stys, speak to you soon
su, shut up
suabq, shut up and be quiet
sul, see you later
sum1, someone
sumfin, Something
summin, something
sumone, someone
sumthin', Something
sumtin, something
sup, what's up
supa, super
supposably, Supposedly
sus, see you soon
svn, seven
svu, special victims unit
sw, so what
swp, sorry wrong person
swt, sweet
sxe, straight edge
sysop, system operator
syt, see you there
sytycd, so you think you can dance 
sz, sorry
t#3, the
t/a, Try again
t2b, time to blunt
t2m, talk to me
t2u, talking to you
t3h, the
t4a, thanks for asking
t8st, taste
ta, thanks again
taht, that
tai, think about it
tal, thanks a lot
tanq, thank you
tat, that
tat2, tattoo
tba, to be anounced
tbc, To be continued
tbd, to be decided
tbf, to be fair
tbp, The Pirate Bay
tc, take care
tcg, Trading Card Game
tcp, transmission control protocol
tcp/ip, transmission control protocol/internet protocol
te, Team effort
teh, the
tf2, Team Fortress 2
tg, thank god
tgfe, together forever
th@, that
tha, the
thankies, Thank You
thankx, thank you
thanq, thank you
thanx, thank you
thar, there
thatz, that's
thku, thank you
thn, then
thnk, think
thnx, thanks
tho, though
thr, there
thr4, therefore
thru, through
tht, that
thx, thank you
thxx, thanks
thz, thank you
tigger, tiger
til, until
tis, is
tix, tickets
tks, thanks
tku, thank you
tl:dr, Too long; didn't read
tl8r, talk later
tld, told
tldnr, too long, did not read
tldr, Too long, didn't read.
tlgo, The list goes on
tliwwv, this link is worthless without video
tlk, talk
tlk2me, talk to me
tlk2ul8r, talk to you later
tlkin, talking
tlkn, talking
tmi, too much information
tmk, to my knowledge
tml, tell me later
tmmrw, tomorrow
tmnt, teenage mutant ninja turtles
tmoro, tomorrow
tmoz, tomorrow
tmr, tomorrow
tmrrw, tomorrow
tmrw, Tomorrow
tmrz, tomorrow
tmz, tomorrowtttt, to tell the truth
ttul, Talk To You Later
ttul8r, Talk to you later
tu, thank you
tuff, tough
tuh, to
tv, televisiontvm, thanks very much
twf, That was funny
twfaf, thats what friends are for
twttr, twitter
tx, thanks
txs, thanks
txt, text
txting, texting
txtyl, text you laterui, User Interface
ukr, You know right
ukwim, you know what i mean
ul, unlucky
un4rtun8ly, unfortunately
unt, until next time
ur, your
ty, thank you
tym, time
tyme, time
tyred, tired
u, you
u'd, you would
u'll, you will
u'r, you're
u'v, you have
u've, You've
u/l, upload
u/n, username
u2, You too
uber, over
ufr, Upon further review
uhab, you have a blog
tnx, thanks
tnxz, thanks
tok, That's ok
tomm, tommorow
tomoro, tommorrow
tomoz, tomorrow
tonite, tonight
tos, terms of service
totes, totally
totl, total
tp, toilet paper
tpb, the pirate bay
tps, test procedure specification
tq, Thank You
trble, trouble
trd, tired
trnsl8, translate
trnsltr, translator
tru, true
ttl, total
ttlly, totally
ttly, totally
ttm, talk to me
ttml, talk to me later
ttmn, Talk to me now
ttms, talking to myself
xbl, xbox live
xcept, except
xcpt, except
xd, extreme droll
xellent, excellent
xfer, transfer
xgf, exgirlfriend
xing, crossing
xit, Exit
xl, extra large
xlnt, Excellent
xmas, christmas
xmpl, example
xor, hacker
xover, crossover
xox, hugs and kisses
xoxo, hugs and kisses
xp, experience
xpect, expect
xplaned, explained
xpt, except
xroads, crossroads
xs, excess
xtc, ecstasy
xtra, extra
xtreme, extreme
y, why
y w, you're welcome
y!a, yahoo answers
y'all, you all
y/n, yes or no
y/o, Years Old
y00, you
y2b, Youtube
y2k, year 2000
ya, yeah
yall, you all
yaqw, You are quite welcome
yarly, yeah really
yaw, you are welcome
yayo, cocaine
ye, yeah
yea, yeah
yer, you're
yermom, your mother
yesh, yes
yew, you
yh, yeah
yhew, you
yid, yes, I do
yim, yahoo instant messenger
yk, you kidding
yki, You know it
ykn, you know nothing
ykw, You Know What
ykwim, you know what I mean
ykwya, you know who you are
yme, why me
yn, why not
yng, young
ynk, you never know
ynm, yes, no, maybe
ynt, why not
ynw, you know what
yo, year old
yo', your
yodo, you only die once
yolo, you only live once
yolt, you only live twice
yooh, you
yor, your
youngin, young person
yoy, why oh why
yr, year
yrbk, Yearbook
yrs, years
yru, why are you?
yt, You there?
ytd, year to date
ytm, you tell me
yty, why thank you
yu, You
yvw, you're very welcome
yw, you're welcomezh, Zero Hour
zig, cigarette
yuo, you
yup, yes
yur, your
zot, Zero Tolerance
zup, what's up?
07734, hello
0day, software illegally obtained before it was released
0noe, Oh No
0vr, over
10q, thank you
10tacle, Tentacle
10x, thanks
12b, wannabe
1337, elite
133t, elite
13itch, b***h
143, I love you
187, murder
1ab, wannabe
1daful, wonderful
1dering, wondering
1nce, once
1sec, one second
2, too
2b, to be
2b4u, too bad for you
2bad4u2, too bad for you too 
2bh, to be honest
2da, to the
2dae, today
2day, today
2ditd, today is the day
2ez, too easy
