a$$, a**
pwn3d, owned
pwn3r, owner
pwnage, Ownage
pwnd, owned
pwned, made to look bad
pwner, owner
pwnt, owned
pwnz, owns
pwnzor, owner
pwob, Parent watching over back
pwoms, parent watching over my shoulder
pwos, parent was over sholder
pww, parents were watching
pxr, punk rocker
pydim, put your d**k in me
pyfco, put your freaking clothes on
pyt, pretty young thing
p^s, parent over shoulder
q2c, quick to c**
q33r, Queer
q4u, question for you
qed, I've made my Point
qfe, quoted for emphasis
qfmft, quoted for motherf**king truth
qft, quoted for truth
qft&gj, quoted for truth and great justice
qltm, quietly laughing to myself
qpwd, quit posting while drunk
qq, crying eyes
qt, cutie
qt3.14, cutie pie
qte, cutie
qtpi, cutie pie
r-tard, retard
r.i.p, Rest in peace
r.i.p., rest in peace
r2f, Ready To f**k
r8p, rape
r8pist, rapist
raoflmao, rolling around on floor laughing my a** off
rb@u, right back at you
rbau, right back at you
rbay, right back at you
rbm, right behind me
rbtl, Read between the lines
rbty, right back to you
rcsa, right click save as
re/rehi, hello again
reefer, marijuana
refl, rolling on the floor laughing
rehi, hello again
retrotextual, One who is using out of date words and abbreviations while texting.
rff, really f**king funny
rflmao, rolling on the floor laughing my a** off
rfn, right f**king now
rhgir, really hot guy in room
rhs, right hand side
ricl, rolling in chair laughing
rifk, rolling on the floor laughing
rihad, Rot In Hell And Die
rino, republican in name only
ritjive, non virgin
rlbf, Real Life Boy Friend
rlf, Real Life Friend
rlg, really loud giggle
rlgf, Real Life Girl Friend
rme, rolling my eyes
rmso, Rock My socks off
rofalol, roll on the floor and laugh out loud
rofc, Rolling On Floor Crying
roffle, rolling on the floor laughing
roffle out loud, rolling on the floor laughing out loud
rofflecake, rolling on the floor laughing
rofflecopters, rolling on the floor with laughter
roffleol, rolling on the floor laughing out loud
roffles, rolling on floor laughing
rofflmfao, rolling on the floor laughing my f**king a**
rofl, rolling on the floor laughing
rofl&pmp, rolling on floor laughing and peeing my pants
roflao, rolling on the floor laughing my a** off
roflastc, Rolling On Floor Laughing And Scaring The Cat
roflcopter, Rolling on the floor laughing
roflcopters, rolling on the floor laughing, VERY funny.
roflkmd, rolling on the floor laughing kicking my dog
rofllh, rolling on the floor laughing like hell
roflmao, rolling on the floor laughing my a** off
roflmaoapimp, rolling on the floor laughing my a** off and peeing in my pants
roflmaool, Rolling on the floor laughing my a** off out loud
roflmaopmp, rolling on the floor, laughing my a** off, pissing my pants
roflmaouts, Rolling on floor laughing my f**king a** off unable to speak
roflmaowpimp, rolling on floor laughing my a** off while peeing in my pants
roflmbfao, Rolling On Floor Laughing My Big Fat a** Off 
roflmbo, rolling on floor laughing my butt off
roflmfaopimp, rolling on the floor laughing my f**king a** off pissing in my pants
roflmfaopmp, rolling on flor laughing my f**king a** of peeing my pants
roflmgao, rolling on the floor laughing my gay a** off
roflmgdao, rolling on the floor laughing my god d**n a** off
roflmgdmfao, roling on floor laughing my god d**n mother f**king a** off
roflmgo, Rolling On Floor Laughing My Guts Out
roflmho, Rolling on the floor laughing my head off
roflmiaha, Rolling on the floor laughing myself into a heart attack
roflmmfao, rolling on the floor laughing my mother f**king a** off
roflol, rolling on floor laughing out loud
roflolbag, Rolling On The Floor Laughing Out Loud Busting A Gut
roflpimp, rolling on the floor laughing pissing in my pants
roflpmp, rolling on the floor laughing peeing my pants
roflwtime, Rolling on the Floor laughing with tears in my eyes
rofpml, rolling on the floor pissing myself laughing
rofwl, Rolling on the floor while laughing
rogl, rolling on ground laughing
roglmfao, rolling on ground laughing my f**king a** off
roids, steroids
rol, rolling over laugihng
rolmao, Rolling Over Laughing My a** Off
rolmfao, rolling over laughing my f**king a** off
rombl, rolled off my bed laughing
roofles, rolling on the floor laughing
ror, raughing out roud
rotf, rolling on the floor
rotfalol, roll on the floor and laugh out loud
rotffl, roll on the f**king floor laughing
rotfflmao, rolling on the f**king floor laughing my a** off
rotfflmfao, rolling on the f**king floor laughing my f**king a** off
rotfl, rolling on the floor laughing
rotflaviab, rolling on the floor laughing and vomiting in a bucket
rotflmao, rolling on the floor laughing my a** off
rotflmaofaktd, Rolling on the floor laughing my a** off farted and killed the dog
rotflmaool, rolling on the floor laughing my a** off out loud
rotflmaostc, rolling on the floor laughing my a** off scaring the cat
rotflmbo, rolling on the floor laughing my butt off
rotflmfao, rolling on the floor laughing my f**king a** off
rotflmfaopimp, rolling on the floor laughing my f**king a** off peeing in my pants
rotflmfaopmp, rolling on the floor laughing my a** off pissin my pants
rotflmfho, rolling on the floor laughing my f**king head off
rotflmho, rolling on the floor laughing my head off
rotflmmfao, rolling on the floor laughing my mother f**king a** off
rotflol, rolling on the floor laughing out loud
rotfpm, rolling on the floor pissing myself
rotfwlmao, rolling on the floor while laughing my a** off
rotg, rolling on the ground
rotgl, roll on the ground laughing
rotglmao, rolling on the ground laughing my a** off
rowyco, rock out with your c**k out
rpita, royal pain in the a**
rplbk, reply back
rpo, royally pissed off
rq, real quick
rr, rest room
rrb, restroom break
rsn, real soon now
rtf, return the favor
rtfa, read the f**king article
rtffp, Read the f**king front page
rtfm, read the f**king manual
rtfmfm, read the f**king manual f**king moron
rtfmm, read the f**king manual moron
rtfms, Read The f**king Manual Stupid
rtfp, read the f**king post
rtfq, Read The f**king Question
rtfs, read the f**king summary
rtfu, Ready the f**k up
rtg, ready to go
rtl, report the loss
rtm, read the manual
rtr, Read the Rules
ru18, are you 18
rua, are you alone
ruabog, are you a boy or girl
ruagoab, are you a girl or a boy
rubz2nt, are you busy tonight
rufkm, are you f**king kidding me
rugay, are you gay
rugta, are you going to answer
ruh, are you horny
ruk, are you ok?
rukm, are you kidding me
rul8, Are you late
rumf, Are you male or female
ruok, are you ok?
rur, are you ready
rut, are you there
ruwm, are you watching me
rwb, Rich White b***h
rys, are you single
s.i.n.g.l.e, Stay intoxicated nightly, get laid everyday.
s.i.t., stay in touch
s.o.a.b., son of a b***h
s.o.b., son of a b***h
s.w.a.k., sealed with a kiss
s/b, should be
s2a, sent to all
s2bu, Sucks to be you
s2g, swear to god
s2r, send to receive
s2u, same to you
s2us, Speak to you soon
s3x, Sex.
s4se, Sight For Sore Eyes
sab, slap a b***h
sagn, Spelling and Grammar Nazi
sah, sexy as hell
sahm, stay at home mom
sase, self addressed stamped envelope
sbc, sorry bout caps
sbcg4ap, strongbads cool game for attractive people
sbd, silent but deadly
sblai, stop babbaling like an idiot
sbs, such bull s**t
sbt, sorry bout that
scnr, sorry, I couldn't resist
sd, suck d**k
sdf^, shut da f**k up
secks, sex
secksea, Sexy
secksy, sexy
see through your eyes, stye
seg, s**t Eatin Grin
seks, sex
sexc, sexy
sexe, sexy
sexi, Sexy
sexii, sexy
sexilicious, Very Sexy
sexx0rz, sex
sfam, Sister from another mother
sfh, So f**king Hot
sfipmp, so funny I peed my pants
sfm, so f**king much
sfr, so f**king random
sfs, so f**king stupid
sfsg, So far so good
sfu, shut the f**k up
sfw, safe for work
sfwuz, safe for work until zoomed
sfy, speak for yourself
sgbadq, Search google before asking dumb questions
sgi, Still got it
sgtm, slightly gigling to myself
sh, s**t happens
shag, f**k
shexi, sexy
shexy, sexy
shiat, s**t
shiet, s**t
shite, s**t
shiz, s**t
shizit, s**t
shiznat, s**t
shiznit, s**t
shizz, s**t
shizzle, s**t
shmexy, sexy
shmily, see how much i love you
shrn, so hot right now
sht, s**t
shtf, s**t hits the fan
shyat, s**t
shyt, s**t
siao, school is almost over
sibir, sibling in room
sic, said in context
sicl, sitting in chair laughing
silf, Sister I'd Like To f**k
simcl, sitting in my chair laughing
simclmao, sitting in my chair laughing my a** off
siol, Shout It Out Loud
sitb, sex in the but
sitmf, say it to my face
siu, suck it up
siuya,  shove it up your a**
sk, spawn kill
skb, should know better
skeet, ejaculate
sl4n, so long for now
slf, sexy little f**k
slgb, Straight/Lesbian/Gay/Bisexual
slore, s**tty w***e
slos, someone looking over shoulder
sl^t, s**t 
smbd, suck my big d**k 
smbt, Suck my big toe
smc, suck my c**k
smd, suck my d**k
smdb, suck my d**k b***h
smdvq, suck my d**k quickly
smeg, f**k
smexy, sexy
smf, stupid motherf**ker
smfd, suck my f**king d**k
smfpos, stupid mother f**king piece of s**t
smh, shaking my head
smhb, suck my hairy balls
smho, Screaming My Head Off
smithwaws, Smack me in the head with a wooden spoon
smofo, stupid mother f**ker
smst, somebody missed snack time
smt, suck my tits
smto, Sticking My Tongue Out
smtoay, Sticking my tongue out at you
snafu, situation normal all f**ked up
snafubar, Situation Normal All f**ked Up Beyond Any Recognition
soab, son of a btch
soad, system of a down
soafb, son of a f**king b***h
sob, son of a b***h
sobs, same, old, boring s**t
soc, Same old crap
sofas, stepping out for a smoke
sofs, same old f**king s**t
sol, s**t outta luck
somadn, sitting on my a** doing nothing
soobs, saggy boobs
sool, s**t out of luck
sop, same old place
sorg, Straight or Gay
sos, same old s**t
sosdd, same old s**t, different day
sosg, spouse over shoulder gone
sot, suck on this
sotc, stupid off topic crap
sotr, sex on the road
spos, stupid peace of s**t
sprm, sperm
sqtm, snickering quietly to myself
sroucks, that's cool, but it still sucks
ss4l, smoking sista for life
ssdd, same s**t, different day
ssdp, same s**t different pile
ssia, subject says it all
ssob, stupid sons of b***hes
sssd, Same s**t Same Day
stbx, soon to be ex
stby, sucks to be you
std, sexually transmitted disease
steamloller, Laughing. Alot.
stfd, sit the f**k down
stfm, search the f**king manual
stfng, search the f**king news group
stfu, shut the f**k up
stfua, shut the f**k up already
stfuah, shut the f**k up a**h**e
stfub, shut the f**k up b***h
stfuda, Shut the f**k up dumb a**
stfugbtw, shut the f**k up and get back to work
stfun, Shut the f**k up n****r
stfuogtfo, Shut the f**k up or get the f**k out.
stfuppercut, shut the f**k up
stfuyb, shut the f**k up you b***h
stfuysoab, shut the f**k up you son of a b***h
stfw, search the f**king web
stufu, stupid f**ker
suagooml, shut up and get out of my life
suib, shut up im busy
suk, suck
suka, Sucker
sukz, sucks
susfu, situation unchanged, still f**ked up
sut, see you tomorrow
sutuct, so you think you can type
sux, sucks
sux0rz, sucks
sux2bu, sucks to be you
suxor, Sucks
suxors, sucks
suxorz, sucks
suxx, sucks
suxxor, sucks
suyah, shut up you a** hole!
swafk, sealed with a friendly kiss
swak, sealed with a kiss
swakaah, Sealed With A Kiss And A Hug
swalk, sealed with a loving kiss
swf, single white female
swm, single white male
swmbo, she who must be obeyed
swmt, Stop Wasting My Time 
swsw2b, single when she wants to be
swtf, seriously, what the f**k
sx, sex
sxc, sexy
sxcy, sexy
sxi, sexy
sxs, sex
sxy, sexy
syatp, see you at the party
sydim, stick your d**k in me
sydtb, text back
tb4u, too bad for you
tbfh, to be f**king honest
tbfu, too bad for you
tbh, to be honest
tbhimo, to be honest in my opinion
tbnt, thanks but no thanks
lm, Shut your dirty little mouth
syfm, shut your f**king mouth
syiab, see you in a bit
syiaf, see you in a few
syl, see you later
syl8r, see you later
sym, shut your mouth
syoa, Save Your Own a**
syotbf, see you on the battlefield
syrs, see ya real soon
sys, see you soon
syu, sex you up
tau, thinking about you
taunch, te amo un chingo
taw, Teachers are Watching
tay, thinking about you
t,ftfy, there, fixed that for you
t.t.y.l, Talk To You Later
t2ul, talk to you later
t2ul8r, talk to you later
t4m, Transgender for Male
taig, That's all I got. 
tanstaafl, there ain't no such thing as a free lunch
tard, retard
tarfu, things are really f**ked up
tbpfh, To be perfectly f**king honest
tbph, To be perfectly honest
tbqf, to be quite frank
tbqh, to be quite honest
tbss, too bad so sad
tbtfh, to be totally freaking honest
tbvh, to be very honest
tcfc, Too Close For Comfort
tcfm, too cool for me
tchbo, Topic creater has been owned
tcial, The cake is a lie
tcoy, take care of yourself
td2m, talk dirty to me
tddup, till death do us part
tdf, To Die For
tdl, Too d**n Lazy
tdtm, Talk Dirty To Me
tdwdtg, The Devil Went Down To Georgia
tgfitw, The Greatest Fans In The World
tgft, thank god for that
tgfu, too good for you
tgfuap, thank god for unanswered prayers
tghig, thank god husband is gone
tgif, thank god it's friday
tgiff, thank god its f**king Friday
tgis, thank god it's saturday
tgiwjo, Thank God It Was Just Once
tgsttttptct, thank God someone took the time to put this crap together
tgtbt, Too Good To Be True
tgwig, thank god wife is gone
tgws, that goes without saying
thot, the hoe of today
thwdi, thats how we do it
thwy, the hell with you!
ti2o, that is too obious
tia, thanks in advance
tiafayh, Thanks in advance for all your help
tiai, take it all in
tias, Try It And See
tiatwtcc, this is a trap word to catch copiers
tif, this is fun
tif2m, this is f**king 2 much
tifs, this is funny s**t
tifu, that is f**ked up
tiic, the idiots in control
tilf, Teenager I'd Like To f**k
tinf, this is not fair
tinla, this is not legal advice
tinstaafl, There Is No Such Thing As A Free Lunch
tioli, take it or leave it
tisc, that is so cool
tisfu, that is so f**ked up
tisg, this is so gay
tisly, that is so last year
tisnf, that is so not fair
tiss, This is some s**t
tisw, that is so wrong
tiw, teacher is watching
tjb, thats just boring
tk, team kill
tk2ul, talk to you later
tkd, Tae Kwon Do
tker, team killer
tl, Tough Luck
tla, Three Letter Acronym
tlc, tender loving care
tltpr, Too long to proof read.
tlyk, to let you know
tma, take my advice
tmaai, tell me all about it
tmai, tell me about it
tmbi, tell me about it
tmo, take me out
tmr@ia, the monkeys are at it again
tms, that makes sense
tmsaisti, That's my story and I'm sticking to it.
tmsg, tell me something good
tmsidk, tell me somthing I don't know
tmth, too much to handle
tmtmo, text me tomorrow
tmtoyh, Too Much Time On Your Hands
tmtt, tell me the truth
tmw, Too much work
tmwfi, Take my word for it
tn1, trust no-one
tna, tits and a**
tnf, That's Not Funny
tnlnsl, Took nothing left nothing signed log
tob, teacher over back
tofy, Thinking of You
toh, typing one handed
tok2ul8r, i'll talk to you later
tolol, thinking of laughing out loud
totm, top of the morning
totp, talking on the phone
totpd, top of the page dance
tou, thinking of you
toya, thinking of you always
tpiwwp, this post is worthless without pictures
tptb, the powers that be
trani, transexual
tranny, Transexual
troll, person who diliberately stirs up trouble
ts, talking s**t
tsc, that's so cool
tsff, thats so f**kin funny
tsig, that site is gay
tsnf, that's so not fair
tss, That's so sweet
tstoac, too stupid to own a computer
tswc, tell someone who cares
tt4n, ta ta for now
ttbc, Try to be cool
ttbomk, to the best o fmy knowledge
ttc, text the cell
ttfaf, Through the Fire and Flames
ttfn, ta ta for now
tthb, try to hurry back
ttihlic, try to imagine how little i care
ttiuwiop, this thread is useless without pics
ttiuwop, this thread is useless without pics
ttiuwp, This Thread Is Useless Without Pictures
ttiwwop, This thread is worthless without pics
ttiwwp, this thread is worthless without pics
ttr, time to run
ttrf, That's the rules, f**ker
tts, text to speech
ttt, to the top
ttth, Talk To The Hand
ttus, talk to you soon
ttut, Talk to you Tomorrow
ttutt, to tell you the truth
tty, Talk to You
ttyab, Talk to you after breakfast
ttyad, Talk to you after Dinner
ttyal, Talk to you after lunch
ttyas, talk to you at school
ttyiam, talk to you in a minute
ttyitm, talk to you in the morning
ttyl, talk to you later
ttyl8r, talk to you later
ttylo, talk to you later on
ttylt, talk to you later today
ttyn, talk to you never
ttyna, talk to you never again
ttynl, talk to you never loser
ttynw, talk to you next week
ttyo, talk to you online
ttyob, tend to your own business
ttyotp, talk to you on the phone
ttyrs, talk to you really soon
ttys, talk to you soon
ttyt, talk to you tomorrow
ttytm, talk to you tomorrow
ttytt, to tell you the truth
ttyw, talk to you whenever
ttywl, Talk to you way later
tut, take your time
tuvm, thank you very much
tw, Teacher Watching
twajs, That was a joke, son.
twat, vagina
twbc, that would be cool
twdah, that was dumb as hell
twg, That was great
twi, Texting While Intoxicated
twis, that's what I said
twoh, typing with one hand
tws2wa, That was so 2 weeks ago
twss, That's what she said
twsy, That was so yeterday
twvsoy, that was very stupid of you
twyl, Talk With You Later
twys, Talk With You Soon
tyclos, turn your CAPS LOCK off, stupid
tyfi, Thank You for invite
tyfn, thank you for nothing
tyfyc, Thank You For Your Comment
tyfyt, Thank you for your time
tyl, text you later
typ, thank you partner
typo, typing mistake
tys, Told You So
tysfm, thank you so f**king much
tysm, thank you so much
tysvm, thank you so very much
tyt, take your time
tyto, take your top off
tyty, thank you thank you
tyvm, Thank You Very Much
tyvvm, thank you very very much
u iz a 304, you is a hoe
u2u, up to you
u4i, up for it
uayor, Use At Your Own Risk
ub3uom, You owe me
upcia, unsolicited pool cue in anus
upia, unsolicited pencil in anus
upmo, You piss me off
upos, you piece of s**t
upw, unidentified party wound
ur2g, you are too good
ur6c, you're sexy
uradrk, you're a dork
urafb, you are a f**king b***h
uraqt, you are a cutie
urcrzy, you are crazy
urg, you are gay
urht, you're hot
url8, you are late
urms, you rock my socks
urmw, you are my world
urnc, you are not cool
uctaodnt, you can't teach an old dog new tricks
udc, you don't care
udek, you don't even know
uds, you dumb s**t
udwk, you don't want to know
udy, you done yet
ufab, ugly fat a** b***h
ufia, unsolicited finger in the anus
ufic, Unsolicited Finger in Chili
ufmf, you funny mother f**ker
ugba, you gay b***h a**
ugtr, you got that right
uhems, you hardly ever make sense
ujds, u just did s**t
ulbom, you looked better on myspace
umfriend, sexual partner
un2bo, you need to back off
ursab, you are such a b***h
ursdf, you are so d**n fine
ursg, you are so gay
ursh, you are so hot
urssb, you are so sexy baby
urstpid, you are stupid
urstu, you are stupid
urtb, you are the best
urtbitw, You are the best in the world!
urtrd, you retard
urtw, you are the worst
urw, you are weird
uryyfm, you are too wise for me
usck, you suck
usuk, You Suck
usux, you suck
ut, unreal tournament
uta, up the a**
utfs, Use the f**king search
utfse, use the f**king search engine
utm, you tell me
uttm,  you talking to me?
uvgtbsm, you have got to be shiting me
uya, up your a**
uyab, up your a** b***h
v4g1n4, vagina
vag, vagina
vajayjay, vagina
vbeg, very big evil grin
vbg, very big grin
vfe, Virgins 4 ever
vff, Verry f**king Funny
vfm, value for money
vgg, very good game
vgh, Very good hand
vgl, very good looking
vnh, Very nice hand
vweg, very wicked evil grin
xbf, ex-boyfriend
xoac, Christ on a crutch
xyz, examine your zipper
xyzpdq, Examine Your Zipper Pretty Darn Quick
yaaf, you are a f**
yaafm, You Are A f**king Moron
yaagf, you are a good friend
yaai, You are an idiot
yaf, you're a f**
yafi, you're a f**king  idiot
yag, you are gay
yapa, yet another pointless acronym
yas, you are stupid
yasan, You are such a nerd
yasf, you are so funny
yasfg, you are so f**king gay
yasg, you are so gay
yasw, you are so weird
yatb, you are the best
yatwl, you are the weakest link
ybbg, Your Brother By Grace
ybs, you'll be sorry
ybya, you bet your a**
ycliu, You could look it up
ycmtsu, You Can't Make This s**t Up
ycntu, Why Cant You?
yctwuw, you can think what you want
ydpos, you dumb piece of s**t
ydtm, You're dead to me
ydufc, Why do f**king care?
yduwtk, why do you want to know
yfb, you f**king b*****d
yfg, you're f**king gay
yfi, you f**king idiot
ygg, you go girl
ygm, You Got Mail
ygp, you got  punked!
ygpm, you've got a private message
ygrr, you got rick rolled
ygtbfkm, you've got to be f**king kidding me
ygtbk, you've got to be kidding
ygtbkm, you got to be kidding me
ygtbsm, You've got to be shitting me
ygtsr, you got that s**t right
yhbt, you've been trolled
yhf, you have failed
yhgtbsm, You Have Got To Be Shitting Me
yhl, you have lost
yhm, You have mail
yhpm, you have a private messge
yhtbt, You Had To Be There
yiwtgo, Yes, I want to go private
ykisa, Your knight in shining armor
ykm, You're killing me
ykywywm, you know you wish you were me
ylb, you little b***h
ym, your mom
ymbkm, you must be kidding me
ymfp, Your Most Favorite Person
ymg2c, your mom goes to college
ymgtc, Your Mom Goes To college
ymiaw, your mom is a w***e
ymislidi, you make it sound like i did it
ymmd, You Made My Day
ymmv, your mileage may vary
ymrasu, Yes, My Retarded a** Signed Up
yomank, you owe me a new keyboard
ypmf, you pissed me off
ypmo, you piss me off
ypom, your place or mine
yqw, you're quite welcome
yrms, You Rock My Socks
yrsaf, You Are Such A Fool 
yrsm, you really scare me
yrss, you are so sexy
yrubm, why are you bugging me?
yrusm, Why are you so mean
ys, you suck
ysa, You Suck a**
ysal, you suck at life
ysati, you suck at the internet
ysf, you stupid f**k
ysic, why should I care
ysitm, your shirt is too small
ysm, you scare me
ysoab, You son of a b***h
yss, you stupid s**t
yswnt, why sleep when not tired?
ytmnd, You're the man now, dog!
yua, you ugly a**
yust, why you say that
yvfw, you're very f**king welcome
ywapom, you want a piece of me?
ywia, You're welcome in advance
ywic, why would i care
yws, you want sex
ywsyls, you win some you lose some
ywud, yo whats up dude
ywvm, you're welcome very much
ywywm, you wish you were me
yysw, yeah, yeah, sure, whatever
z'omg, Oh my God
z0mg, oh my god
zex, sex
zomfg, oh my f**king god
zomg, Oh my God
zomgzorrz, oh my god
zoot, woohoo
zt, zoo tycoon
*4u, Kiss for you
*67, unknown
*eg*, evil grin
2h2h, too hot to handle
2h4u, too hot for you
2m4u, too much for you
2o4s, too old for sex
2qt, too cute
2tm, to the max
3arc, Treyarch
3y3 y4m, I am
4fs, for f**k's sake
4hoa, four horsemen of the apocalypse
4ker, f**ker
4king, f**king
4lyf3, for life
4lyfe, for life
4q, f**k you
4r3al, for real
53x, sex
5h17, s**t
6flx, X-Rated movie (sex flick)
6up, cops in area
6y, sexy
7734, hell
7uck, f**k
8008, boob
8008135, boobies
80085, Boobs
81tc#, b***h
911sc, emergency let's stop chatting
@$$, a**
@$$ #013, a** hole
@$$hole, a**h**e
@h, a**h**e
